"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
202	16	00001	1	01	142.79
202	16	00001	1	02	142.79
202	16	00001	1	03	142.79
202	16	00001	1	04	142.79
202	16	00002	1	01	143.59
202	16	00002	1	02	143.59
202	16	00002	2	03	143.59
202	16	00002	2	04	143.59
202	16	00003	1	01	158.9
202	16	00004	1	01	156.66
202	16	00004	1	02	156.66
202	16	00005	1	01	253.26
202	16	00005	1	02	253.26
202	16	00006	1	01	207.74
202	16	00006	1	02	207.74
202	16	00006	2	03	207.74
202	16	00007	1	01	340.46
202	16	00008	1	01	144.13
202	16	00008	2	02	144.13
202	16	00009	1	01	212.78
202	16	00009	1	02	212.78
202	16	00009	2	03	212.78
202	16	00009	2	04	212.78
202	16	00009	2	05	212.78
202	16	00009	2	06	212.78
202	16	00009	2	07	212.78
202	16	00010	1	01	300.9
202	16	00011	1	01	239.39
202	16	00011	1	02	239.39
202	16	00011	2	03	239.39
202	16	00012	1	01	198.61
202	16	00013	1	01	329.07
202	16	00013	1	02	329.07
202	16	00014	1	01	241.17
202	16	00014	1	02	241.17
202	16	00014	2	03	241.17
202	16	00015	1	01	266.73
202	16	00015	1	02	266.73
202	16	00015	1	03	266.73
202	16	00015	1	04	266.73
202	16	00016	1	01	159.9
202	16	00016	1	02	159.9
202	16	00016	1	03	159.9
202	16	00016	1	04	159.9
202	16	00017	1	01	306.64
202	16	00018	1	01	236.99
202	16	00019	1	01	227.66
202	16	00019	1	02	227.66
202	16	00020	1	01	195.7
202	16	00020	1	02	195.7
202	16	00021	1	01	195.7
202	16	00021	1	02	195.7
202	16	00022	1	01	300.9
202	16	00023	1	01	132.51
202	16	00023	1	02	132.51
202	16	00023	2	03	132.51
202	16	00023	2	04	132.51
202	16	00024	1	01	104.55
202	16	00024	1	02	104.55
202	16	00024	1	03	104.55
202	16	00024	2	04	104.55
202	16	00025	1	01	195.7
202	16	00025	1	02	195.7
202	16	00026	1	01	210.53
202	16	00026	1	02	210.53
202	16	00026	2	03	210.53
202	16	00026	2	04	210.53
202	16	00026	2	05	210.53
202	16	00027	1	01	155.77
202	16	00027	1	02	155.77
202	16	00027	2	03	155.77
202	16	00027	2	04	155.77
202	16	00028	1	01	195.7
202	16	00028	1	02	195.7
202	16	00029	1	01	141.54
202	16	00030	1	01	191.95
202	16	00030	1	02	191.95
202	16	00030	1	03	191.95
202	16	00031	1	01	147.41
202	16	00032	1	01	236.99
202	16	00033	1	01	187.39
202	16	00033	1	02	187.39
202	16	00033	1	03	187.39
202	16	00033	1	04	187.39
202	16	00033	2	05	187.39
202	16	00034	1	01	195.7
202	16	00034	1	02	195.7
202	16	00035	1	01	253.77
202	16	00035	1	02	253.77
202	16	00035	1	03	253.77
202	16	00036	1	01	198.61
202	16	00037	1	01	198.61
202	16	00038	1	01	167.68
202	16	00038	1	02	167.68
202	16	00038	1	03	167.68
202	16	00039	1	01	155.02
202	16	00040	1	01	198.61
202	16	00041	1	01	167.63
202	16	00041	1	02	167.63
202	16	00041	1	03	167.63
202	16	00041	1	04	167.63
202	16	00042	1	01	141.54
202	16	00043	1	01	350.96
202	16	00043	1	02	350.96
202	16	00043	2	03	350.96
202	16	00044	1	01	132.46
202	16	00045	1	01	147.41
202	16	00046	1	01	101.92
202	16	00046	2	02	101.92
202	16	00046	2	03	101.92
202	16	00047	1	01	213.04
202	16	00048	1	01	187.69
202	16	00048	1	02	187.69
202	16	00048	1	04	187.69
202	16	00049	1	01	180.65
202	16	00049	1	02	180.65
202	16	00049	2	03	180.65
202	16	00050	1	01	112.2
202	16	00050	1	02	112.2
202	16	00050	2	03	112.2
202	16	00051	1	01	158.9
202	16	00052	1	01	123.03
202	16	00052	1	02	123.03
202	16	00052	1	03	123.03
202	16	00052	2	04	123.03
202	16	00053	1	01	135.17
202	16	00053	2	02	135.17
202	16	00054	1	01	161.98
202	16	00054	2	02	161.98
202	16	00055	1	01	218.82
202	16	00056	1	01	195.7
202	16	00056	1	02	195.7
202	16	00057	1	01	236.99
202	16	00058	1	01	106.51
202	16	00058	1	02	106.51
202	16	00058	2	03	106.51
202	16	00058	2	04	106.51
202	16	00059	1	01	236.99
202	16	00060	1	01	453.12
202	16	00061	1	01	195.7
202	16	00061	1	02	195.7
202	16	00062	1	01	453.12
202	16	00063	1	01	160.14
202	16	00063	1	02	160.14
202	16	00063	2	03	160.14
202	16	00064	1	01	213.04
202	16	00065	1	01	182.95
202	16	00065	1	02	182.95
202	16	00065	1	03	182.95
202	16	00066	1	01	132.46
202	16	00067	1	01	117.42
202	16	00067	1	02	117.42
202	16	00067	2	03	117.42
202	16	00067	2	04	117.42
202	16	00068	1	01	236.99
202	16	00069	1	01	156.9
202	16	00069	1	02	156.9
202	16	00069	1	03	156.9
